index,INSTNM,DISTANCEONLY,TUITFTE,ADM_RATE_ALL,NPT4_PRIV,HIGHDEG_ Associate degree,HIGHDEG_ Bachelor&#39;s degree,HIGHDEG_ Certificate degree,HIGHDEG_ Graduate degree,HIGHDEG_ Non-degree-granting,Labels_3Clusters
13,South University-Montgomery,0.0,14726.0,0.4829,23152.0,0,0,0,1,0,1
36,University of Mobile,0.0,10339.0,0.7125,17970.0,0,0,0,1,0,1
41,Oakwood University,0.0,11909.0,0.3435,26954.0,0,0,0,1,0,1
46,Samford University,0.0,17548.0,0.7697,24093.0,0,0,0,1,0,1
51,Spring Hill College,0.0,10653.0,0.4627,18555.0,0,0,0,1,0,1
57,Tuskegee University,0.0,14071.0,0.3511,28909.0,0,0,0,1,0,1
64,Alaska Pacific University,0.0,13615.0,0.3745,30891.0,0,0,0,1,0,1
97,Embry-Riddle Aeronautical University-Prescott,0.0,35302.0,0.7814,35470.0,0,0,0,1,0,1
100,Grand Canyon University,0.0,10748.0,0.548,28309.0,0,0,0,1,0,1
120,Prescott College,0.0,14975.0,0.7293,23432.0,0,0,0,1,0,1
161,Harding University,0.0,11636.0,0.7628,23534.0,0,0,0,1,0,1
163,Hendrix College,0.0,12547.0,0.8039,22231.0,0,0,0,1,0,1
166,John Brown University,0.0,9545.0,0.6982,17550.0,0,0,0,1,0,1
214,Art Center College of Design,0.0,29955.0,0.8167,43083.0,0,0,0,1,0,1
217,Azusa Pacific University,0.0,18430.0,0.7985,28516.0,0,0,0,1,0,1
221,Bethesda University of California,0.0,5936.0,0.8321,8039.0,0,0,0,1,0,1
222,Biola University,0.0,20770.0,0.7286,32140.0,0,0,0,1,0,1
223,Brooks Institute,0.0,22284.0,0.98,29203.0,0,0,0,1,0,1
230,California Baptist University,0.0,18014.0,0.788,23137.0,0,0,0,1,0,1
231,California College of the Arts,0.0,28276.0,0.8157,30719.0,0,0,0,1,0,1
233,California Institute of Technology,0.0,15679.0,0.1055,25667.0,0,0,0,1,0,1
234,California Lutheran University,0.0,17980.0,0.4802,28107.0,0,0,0,1,0,1
236,Alliant International University,0.0,20681.0,0.4922,19768.0,0,0,0,1,0,1
265,California Institute of the Arts,0.0,28077.0,0.2992,42600.0,0,0,0,1,0,1
283,Chapman University,0.0,24444.0,0.4471,33821.0,0,0,0,1,0,1
284,Charles R Drew University of Medicine and Science,0.0,18909.0,0.8889,22741.0,0,0,0,1,0,1
