index,INSTNM,DISTANCEONLY,TUITFTE,ADM_RATE_ALL,NPT4_PRIV,HIGHDEG_ Associate degree,HIGHDEG_ Bachelor&#39;s degree,HIGHDEG_ Certificate degree,HIGHDEG_ Graduate degree,HIGHDEG_ Non-degree-granting,Labels_3Clusters
4351,Carrington College-Portland,0.0,16521.0,1.0,22394.0,1,0,0,0,0,3
4364,Carrington College California-San Leandro,0.0,13278.0,0.7226,18795.0,1,0,0,0,0,3
4372,Landmark College,0.0,37186.0,0.8647,33890.0,1,0,0,0,0,3
4389,Fashion Institute of Design & Merchandising-San Diego,0.0,23284.0,0.5979,33181.0,1,0,0,0,0,3
4398,Laurel Business Institute,0.0,13982.0,0.8291,7441.0,1,0,0,0,0,3
4403,Carrington College-Phoenix Westside,0.0,13937.0,1.0,28334.0,1,0,0,0,0,3
4427,Northwestern College-Southwestern Campus,0.0,7979.0,0.9196,23498.0,1,0,0,0,0,3
4523,Remington College-Mobile Campus,0.0,9153.0,0.7805,23403.0,1,0,0,0,0,3
4650,Remington College-Cleveland Campus,0.0,12839.0,0.7805,23113.0,1,0,0,0,0,3
4673,EDIC College,0.0,5616.0,0.9001,3580.0,1,0,0,0,0,3
4683,Remington College-Fort Worth Campus,0.0,9272.0,0.7805,23074.0,1,0,0,0,0,3
4713,Remington College-Houston Campus,0.0,10870.0,0.7805,22930.0,1,0,0,0,0,3
4751,King's College,0.0,10754.0,0.8917,15527.0,1,0,0,0,0,3
4787,Fortis Institute-Scranton,0.0,9672.0,0.8629,28918.0,1,0,0,0,0,3
4798,Virginia College-Pensacola,0.0,21102.0,1.0,18211.0,1,0,0,0,0,3
4809,College of Health Care Professions-Northwest,0.0,6403.0,1.0,20307.0,1,0,0,0,0,3
4876,Galen College of Nursing-Tampa Bay,0.0,12273.0,0.6162,21192.0,1,0,0,0,0,3
4899,Omaha School of Massage and Healthcare of Herzing University,0.0,7949.0,0.749,20988.0,1,0,0,0,0,3
4963,Remington College-Memphis Campus,0.0,9698.0,0.7805,23712.0,1,0,0,0,0,3
4997,ITT Technical Institute-Pittsburgh,0.0,21730.0,0.8388,22696.0,1,0,0,0,0,3
5144,ITT Technical Institute-Getzville,0.0,23098.0,0.8388,23314.0,1,0,0,0,0,3
5204,Southeastern College-Greenacres,0.0,16762.0,0.8924,24056.0,1,0,0,0,0,3
5221,Golf Academy of America-Altamonte Springs,0.0,19740.0,1.0,22695.0,1,0,0,0,0,3
5222,Golf Academy of America-Phoenix,0.0,24967.0,1.0,22096.0,1,0,0,0,0,3
5232,ITT Technical Institute-Harrisburg,0.0,23295.0,0.8388,22224.0,1,0,0,0,0,3
5233,ITT Technical Institute-Tarentum,0.0,22140.0,0.8388,17888.0,1,0,0,0,0,3
5293,Delaware College of Art and Design,0.0,13507.0,0.5804,27132.0,1,0,0,0,0,3
5334,ITT Technical Institute-Albany,0.0,23302.0,0.8388,22286.0,1,0,0,0,0,3
5335,ITT Technical Institute-Liverpool,0.0,20756.0,0.8388,20668.0,1,0,0,0,0,3
5338,Golf Academy of America-Myrtle Beach,0.0,23191.0,1.0,22858.0,1,0,0,0,0,3
5393,The College of Health Care Professions-Austin,0.0,9269.0,1.0,22229.0,1,0,0,0,0,3
5404,Carrington College California-San Jose,0.0,15362.0,0.7226,21270.0,1,0,0,0,0,3
5409,Carrington College California-Pleasant Hill,0.0,14223.0,0.7226,20672.0,1,0,0,0,0,3
5428,Remington College-Little Rock Campus,0.0,8117.0,0.7805,25527.0,1,0,0,0,0,3
5434,Carrington College-Spokane,0.0,11910.0,1.0,24304.0,1,0,0,0,0,3
5449,ATS Institute of Technology,0.0,15382.0,0.5629,36461.0,1,0,0,0,0,3
5494,Remington College-Baton Rouge Campus,0.0,10393.0,0.7805,22396.0,1,0,0,0,0,3
5508,ITT Technical Institute-Levittown,0.0,24657.0,0.8388,21078.0,1,0,0,0,0,3
5566,American Institute of Alternative Medicine,0.0,13911.0,0.9153,21133.0,1,0,0,0,0,3
5582,Virginia College-Jackson,0.0,17103.0,1.0,12570.0,1,0,0,0,0,3
5583,Virginia College-Austin,0.0,19930.0,1.0,18177.0,1,0,0,0,0,3
5607,ITT Technical Institute-Plymouth Meeting,0.0,23581.0,0.8388,23122.0,1,0,0,0,0,3
5618,Carrington College-Albuquerque,0.0,15197.0,1.0,25575.0,1,0,0,0,0,3
5657,Southeastern College-Jacksonville,0.0,13975.0,0.9524,23973.0,1,0,0,0,0,3
5774,Virginia College-Mobile,0.0,22298.0,1.0,18981.0,1,0,0,0,0,3
5781,Remington College-North Houston Campus,0.0,10880.0,0.7805,22777.0,1,0,0,0,0,3
5785,Remington College-Nashville Campus,0.0,10623.0,0.7805,26739.0,1,0,0,0,0,3
5842,Cambridge Junior College-Yuba City,0.0,9606.0,0.8783,21496.0,1,0,0,0,0,3
5916,AmeriTech College-Draper,0.0,7158.0,0.7755,32424.0,1,0,0,0,0,3
5956,Aviator College of Aeronautical Science and Technology,0.0,61621.0,0.7,72265.0,1,0,0,0,0,3
6001,ITT Technical Institute-Dunmore,0.0,22553.0,0.8388,18691.0,1,0,0,0,0,3
6073,SABER College,0.0,10116.0,0.6512,14536.0,1,0,0,0,0,3
6079,Louisiana Culinary Institute,0.0,12518.0,0.7451,20144.0,1,0,0,0,0,3
6120,Virginia College-Biloxi,0.0,25444.0,1.0,18134.0,1,0,0,0,0,3
6127,ITT Technical Institute-Chattanooga,0.0,22359.0,0.8388,23509.0,1,0,0,0,0,3
6129,Virginia College-School of Business and Health-Chattanooga,0.0,16930.0,1.0,17615.0,1,0,0,0,0,3
6156,Carrington College California-Stockton,0.0,12905.0,0.7226,18306.0,1,0,0,0,0,3
6157,Carrington College California-Citrus Heights,0.0,12649.0,0.7226,17431.0,1,0,0,0,0,3
6245,Remington College-Houston Southeast Campus,0.0,10388.0,0.7805,22463.0,1,0,0,0,0,3
6246,Remington College-Shreveport Campus,0.0,8581.0,0.7805,22828.0,1,0,0,0,0,3
6269,Virginia College-Montgomery,0.0,27983.0,1.0,11879.0,1,0,0,0,0,3
6272,Galen College of Nursing-Cincinnati,0.0,12236.0,0.6162,21665.0,1,0,0,0,0,3
6319,Virginia College-Greenville,0.0,25297.0,1.0,14397.0,1,0,0,0,0,3
6367,Jersey College,0.0,11798.0,0.8,16674.0,1,0,0,0,0,3
6382,Global Health College,0.0,5996.0,0.7664,38420.0,1,0,0,0,0,3
6405,Virginia College-Jacksonville,0.0,23127.0,1.0,2963.0,1,0,0,0,0,3
6436,Virginia College-Charleston,0.0,22620.0,1.0,16224.0,1,0,0,0,0,3
6460,ITT Technical Institute-Madison,0.0,18814.0,0.8388,23026.0,1,0,0,0,0,3
6462,ITT Technical Institute-Huntington,0.0,22801.0,0.8388,23077.0,1,0,0,0,0,3
6464,ITT Technical Institute-Fort Myers,0.0,20396.0,0.8388,24731.0,1,0,0,0,0,3
6506,Carrington College-Las Vegas,0.0,11926.0,1.0,18668.0,1,0,0,0,0,3
6507,Carrington College-Reno,0.0,17709.0,1.0,29434.0,1,0,0,0,0,3
6602,Virginia College-Augusta,0.0,20495.0,1.0,17165.0,1,0,0,0,0,3
6620,Harrison College-Grove City,0.0,20585.0,1.0,18980.0,1,0,0,0,0,3
6628,Virginia College-Columbia,0.0,23376.0,1.0,14291.0,1,0,0,0,0,3
6699,Compass College of Cinematic Arts,0.0,10058.0,0.9815,27133.0,1,0,0,0,0,3
6715,ITT Technical Institute-Merrillville,0.0,19324.0,0.8388,21655.0,1,0,0,0,0,3
