index,INSTNM,DISTANCEONLY,TUITFTE,ADM_RATE_ALL,NPT4_PRIV,HIGHDEG_ Associate degree,HIGHDEG_ Bachelor&#39;s degree,HIGHDEG_ Certificate degree,HIGHDEG_ Graduate degree,HIGHDEG_ Non-degree-granting,Labels_3Clusters
10,Birmingham Southern College,0.0,11928.0,0.6422,22994.0,0,1,0,0,0,2
22,Herzing University-Birmingham,0.0,8048.0,0.749,22518.0,0,1,0,0,0,2
23,Huntingdon College,0.0,9074.0,0.6279,17864.0,0,1,0,0,0,2
30,Judson College,0.0,7626.0,0.7388,17243.0,0,1,0,0,0,2
52,Southeastern Bible College,0.0,10496.0,0.9615,12954.0,0,1,0,0,0,2
53,Stillman College,0.0,10367.0,0.43,17473.0,0,1,0,0,0,2
76,Carrington College-Phoenix,0.0,11721.0,1.0,20501.0,0,1,0,0,0,2
106,ITT Technical Institute-Tucson,0.0,21110.0,0.8388,22313.0,0,1,0,0,0,2
107,ITT Technical Institute-Tempe,0.0,21842.0,0.8388,22617.0,0,1,0,0,0,2
127,Arizona Christian University,0.0,10013.0,0.6076,22493.0,0,1,0,0,0,2
139,Lyon College,0.0,9863.0,0.5898,12350.0,0,1,0,0,0,2
152,Central Baptist College,0.0,8457.0,0.5407,11539.0,0,1,0,0,0,2
177,Ouachita Baptist University,0.0,10088.0,0.7011,16424.0,0,1,0,0,0,2
180,University of the Ozarks,0.0,11980.0,0.6136,15402.0,0,1,0,0,0,2
192,Williams Baptist College,0.0,7323.0,0.6798,11326.0,0,1,0,0,0,2
199,ITT Technical Institute-Rancho Cordova,0.0,19887.0,0.8388,23022.0,0,1,0,0,0,2
261,California Christian College,0.0,12357.0,0.8333,11734.0,0,1,0,0,0,2
296,Cogswell College,0.0,19219.0,0.7784,22831.0,0,1,0,0,0,2
301,Columbia College-Hollywood,0.0,18411.0,0.548,25614.0,0,1,0,0,0,2
327,Fashion Institute of Design & Merchandising-Los Angeles,0.0,27124.0,0.5979,38960.0,0,1,0,0,0,2
328,Fashion Institute of Design & Merchandising-San Francisco,0.0,29371.0,0.5979,36184.0,0,1,0,0,0,2
329,Fashion Institute of Design & Merchandising-Orange County,0.0,19158.0,0.5979,33234.0,0,1,0,0,0,2
352,Harvey Mudd College,0.0,26798.0,0.1817,24311.0,0,1,0,0,0,2
368,ITT Technical Institute-National City,0.0,20888.0,0.8388,23139.0,0,1,0,0,0,2
369,ITT Technical Institute-San Dimas,0.0,18559.0,0.8388,21613.0,0,1,0,0,0,2
370,ITT Technical Institute-Orange,0.0,19372.0,0.8388,22434.0,0,1,0,0,0,2
416,Menlo College,0.0,18300.0,0.3705,25918.0,0,1,0,0,0,2
434,Musicians Institute,0.0,22047.0,0.9888,35680.0,0,1,0,0,0,2
473,Pitzer College,0.0,44463.0,0.1451,25807.0,0,1,0,0,0,2
476,Pomona College,0.0,22496.0,0.1392,12557.0,0,1,0,0,0,2
552,Thomas Aquinas College,0.0,12168.0,0.7921,20155.0,0,1,0,0,0,2
554,Epic Bible College,0.0,11681.0,0.79,20459.0,0,1,0,0,0,2
576,Yeshiva Ohr Elchonon Chabad West Coast Talmudical Seminary,0.0,12568.0,1.0,6649.0,0,1,0,0,0,2
672,Mitchell College,0.0,16771.0,0.5766,28585.0,0,1,0,0,0,2
689,St Vincent's College,0.0,14428.0,0.7167,17343.0,0,1,0,0,0,2
727,The Baptist College of Florida,0.0,8251.0,0.4257,9766.0,0,1,0,0,0,2
747,Eckerd College,0.0,19956.0,0.7104,29864.0,0,1,0,0,0,2
749,Edward Waters College,0.0,9451.0,0.2732,12443.0,0,1,0,0,0,2
754,Flagler College-St Augustine,0.0,13574.0,0.4987,21011.0,0,1,0,0,0,2
755,Florida College,0.0,14628.0,0.5875,19028.0,0,1,0,0,0,2
787,ITT Technical Institute-Tampa,0.0,24564.0,0.8388,23227.0,0,1,0,0,0,2
811,Remington College-Tampa Campus,0.0,10984.0,0.7805,19573.0,0,1,0,0,0,2
832,Ringling College of Art and Design,0.0,33814.0,0.7331,45774.0,0,1,0,0,0,2
869,Rasmussen College-Florida,0.0,14592.0,0.7679,19529.0,0,1,0,0,0,2
876,Agnes Scott College,0.0,12153.0,0.6687,18635.0,0,1,0,0,0,2
887,Point University,0.0,8779.0,0.5353,17800.0,0,1,0,0,0,2
899,Brewton-Parker College,0.0,5603.0,0.5137,13146.0,0,1,0,0,0,2
914,Emmanuel College,0.0,8333.0,0.4783,12333.0,0,1,0,0,0,2
937,Herzing University-Atlanta,0.0,6773.0,0.749,21925.0,0,1,0,0,0,2
939,Morehouse College,0.0,12500.0,0.6684,30456.0,0,1,0,0,0,2
944,Paine College,0.0,11414.0,0.4377,14392.0,0,1,0,0,0,2
954,Spelman College,0.0,13571.0,0.3802,31923.0,0,1,0,0,0,2
958,Toccoa Falls College,0.0,9853.0,0.494,16526.0,0,1,0,0,0,2
959,Truett-McConnell College,0.0,7499.0,0.8064,15457.0,0,1,0,0,0,2
964,Young Harris College,0.0,8213.0,0.5365,15661.0,0,1,0,0,0,2
982,Boise Bible College,0.0,10490.0,1.0,19027.0,0,1,0,0,0,2
989,ITT Technical Institute-Boise,0.0,25088.0,0.8388,23914.0,0,1,0,0,0,2
995,Brigham Young University-Idaho,0.0,2404.0,0.9963,7409.0,0,1,0,0,0,2
1000,American Academy of Art,0.0,24434.0,0.93,26573.0,0,1,0,0,0,2
1002,Augustana College,0.0,17277.0,0.5867,22969.0,0,1,0,0,0,2
1008,Blackburn College,0.0,12449.0,0.6799,13536.0,0,1,0,0,0,2
1049,Eureka College,0.0,13580.0,0.6781,17773.0,0,1,0,0,0,2
1068,Illinois Wesleyan University,0.0,19780.0,0.5838,26398.0,0,1,0,0,0,2
1070,Illinois College,0.0,10968.0,0.6129,17475.0,0,1,0,0,0,2
1085,Kendall College,0.0,12687.0,0.8773,36370.0,0,1,0,0,0,2
1087,Knox College,0.0,17592.0,0.7496,20818.0,0,1,0,0,0,2
1098,Lincoln College,0.0,9803.0,0.8747,16485.0,0,1,0,0,0,2
1107,MacMurray College,0.0,13222.0,0.7488,16086.0,0,1,0,0,0,2
1112,Methodist College,0.0,16410.0,0.8636,29545.0,0,1,0,0,0,2
1113,Midstate College,0.0,14752.0,0.84,22314.0,0,1,0,0,0,2
1115,Monmouth College,0.0,12890.0,0.6431,15685.0,0,1,0,0,0,2
1157,Shimer College,0.0,19756.0,0.2857,30182.0,0,1,0,0,0,2
1169,Telshe Yeshiva-Chicago,0.0,13088.0,1.0,7397.0,0,1,0,0,0,2
1172,Trinity Christian College,0.0,17333.0,0.9022,20439.0,0,1,0,0,0,2
1193,DePauw University,0.0,16598.0,0.6121,22171.0,0,1,0,0,0,2
1198,Franklin College,0.0,12848.0,0.6002,20438.0,0,1,0,0,0,2
1203,Hanover College,0.0,12306.0,0.6673,21002.0,0,1,0,0,0,2
1205,Holy Cross College,0.0,13361.0,0.7231,17637.0,0,1,0,0,0,2
1211,Harrison College-Indianapolis,0.0,16157.0,1.0,19196.0,0,1,0,0,0,2
1222,International Business College-Fort Wayne,0.0,14104.0,0.8297,17673.0,0,1,0,0,0,2
