index,INSTNM,DISTANCEONLY,TUITFTE,ADM_RATE_ALL,NPT4_PUB,HIGHDEG_ Associate degree,HIGHDEG_ Bachelor&#39;s degree,HIGHDEG_ Certificate degree,HIGHDEG_ Graduate degree,HIGHDEG_ Non-degree-granting,Labels_3Clusters
197,University of Arkansas-Fort Smith,0.0,2204.0,0.5736,6727.0,0,1,0,0,0,2
609,Fort Lewis College,0.0,5566.0,0.875,14398.0,0,1,0,0,0,2
875,Abraham Baldwin Agricultural College,0.0,2104.0,0.709,9477.0,0,1,0,0,0,2
901,College of Coastal Georgia,0.0,2420.0,0.8221,11144.0,0,1,0,0,0,2
926,Gordon State College,0.0,1896.0,0.4529,8798.0,0,1,0,0,0,2
979,University of Hawaii-West Oahu,0.0,4390.0,0.7643,6118.0,0,1,0,0,0,2
988,Lewis-Clark State College,0.0,4589.0,0.9977,12152.0,0,1,0,0,0,2
1508,Louisiana State University-Alexandria,0.0,4173.0,0.6074,11047.0,0,1,0,0,0,2
1564,University of Maine at Fort Kent,0.0,6008.0,0.6293,12695.0,0,1,0,0,0,2
1565,University of Maine at Machias,0.0,4444.0,0.854,9133.0,0,1,0,0,0,2
1937,University of Minnesota-Crookston,0.0,5639.0,0.6916,11894.0,0,1,0,0,0,2
1945,University of Minnesota-Morris,0.0,5637.0,0.5764,14583.0,0,1,0,0,0,2
2242,University of New Hampshire at Manchester,0.0,11082.0,0.7779,18338.0,0,1,0,0,0,2
2354,Institute of American Indian and Alaska Native Culture,0.0,4447.0,1.0,10181.0,0,1,0,0,0,2
2460,CUNY Medgar Evers College,0.0,2396.0,0.9141,8081.0,0,1,0,0,0,2
2461,CUNY New York City College of Technology,0.0,3180.0,0.768,5896.0,0,1,0,0,0,2
2622,SUNY College of Technology at Alfred,0.0,3258.0,0.5494,14839.0,0,1,0,0,0,2
2623,SUNY College of Technology at Canton,0.0,3280.0,0.7824,12749.0,0,1,0,0,0,2
2624,SUNY College of Technology at Delhi,0.0,3608.0,0.5867,14339.0,0,1,0,0,0,2
2625,SUNY College of Agriculture and Technology at Cobleskill,0.0,4023.0,0.7309,15280.0,0,1,0,0,0,2
2626,Farmingdale State College,0.0,5323.0,0.5264,10590.0,0,1,0,0,0,2
2627,Morrisville State College,0.0,3329.0,0.5898,15930.0,0,1,0,0,0,2
2823,Dickinson State University,0.0,5100.0,0.4868,10079.0,0,1,0,0,0,2
2935,Kent State University at Ashtabula,0.0,6079.0,0.8302,11845.0,0,1,0,0,0,2
2936,Kent State University at East Liverpool,0.0,6097.0,0.8302,11101.0,0,1,0,0,0,2
2937,Kent State University at Stark,0.0,5984.0,0.8302,9949.0,0,1,0,0,0,2
2938,Kent State University at Trumbull,0.0,6442.0,0.8302,11160.0,0,1,0,0,0,2
2939,Kent State University at Tuscarawas,0.0,5752.0,0.8302,10838.0,0,1,0,0,0,2
2940,Kent State University at Salem,0.0,5744.0,0.8302,10808.0,0,1,0,0,0,2
2942,Kent State University at Geauga,0.0,6098.0,0.8302,10213.0,0,1,0,0,0,2
2988,Ohio State University-Lima Campus,0.0,6689.0,0.5553,12468.0,0,1,0,0,0,2
2989,Ohio State University-Mansfield Campus,0.0,6740.0,0.5553,15377.0,0,1,0,0,0,2
2990,Ohio State University-Marion Campus,0.0,6853.0,0.5553,11143.0,0,1,0,0,0,2
