index,INSTNM,DISTANCEONLY,TUITFTE,ADM_RATE_ALL,NPT4_PUB,HIGHDEG_ Associate degree,HIGHDEG_ Bachelor&#39;s degree,HIGHDEG_ Certificate degree,HIGHDEG_ Graduate degree,HIGHDEG_ Non-degree-granting,Labels_3Clusters
34,Marion Military Institute,0.0,2443.0,0.6034,11013.0,1,0,0,0,0,3
181,University of Arkansas Community College-Morrilton,0.0,1708.0,0.5838,6770.0,1,0,0,0,0,3
1558,Eastern Maine Community College,0.0,1154.0,0.6639,8924.0,1,0,0,0,0,3
1570,Northern Maine Community College,0.0,554.0,0.681,11881.0,1,0,0,0,0,3
2019,Pearl River Community College,0.0,763.0,0.8566,573.0,1,0,0,0,0,3
2150,Highlands College of Montana Tech,0.0,3512.0,0.8891,9648.0,1,0,0,0,0,3
2205,Nebraska College of Technical Agriculture,0.0,2924.0,0.6404,10898.0,1,0,0,0,0,3
2350,New Mexico State University-Dona Ana,0.0,1093.0,0.852,6197.0,1,0,0,0,0,3
2353,Eastern New Mexico University-Roswell Campus,0.0,1133.0,0.6321,6959.0,1,0,0,0,0,3
2357,New Mexico Military Institute,0.0,7564.0,0.4186,6182.0,1,0,0,0,0,3
2358,University of New Mexico-Gallup Campus,0.0,1148.0,0.6458,6699.0,1,0,0,0,0,3
2360,University of New Mexico-Los Alamos Campus,0.0,1490.0,0.6458,5049.0,1,0,0,0,0,3
2362,New Mexico State University-Alamogordo,0.0,1448.0,0.852,4261.0,1,0,0,0,0,3
2363,New Mexico State University-Carlsbad,0.0,1011.0,0.852,5074.0,1,0,0,0,0,3
2364,New Mexico State University-Grants,0.0,1219.0,0.852,3935.0,1,0,0,0,0,3
2366,University of New Mexico-Valencia County Campus,0.0,1106.0,0.6458,5623.0,1,0,0,0,0,3
2374,University of New Mexico-Taos Campus,0.0,1001.0,0.6458,7496.0,1,0,0,0,0,3
2853,University of Akron Wayne College,0.0,7958.0,0.9649,10943.0,1,0,0,0,0,3
2867,Bowling Green State University-Firelands,0.0,4406.0,0.7247,10101.0,1,0,0,0,0,3
2987,Ohio State University Agricultural Technical Institute,0.0,7271.0,0.5553,17639.0,1,0,0,0,0,3
2997,Ohio University-Eastern Campus,0.0,3502.0,0.7295,9051.0,1,0,0,0,0,3
2998,Ohio University-Chillicothe Campus,0.0,2916.0,0.7295,10071.0,1,0,0,0,0,3
2999,Ohio University-Southern Campus,0.0,2601.0,0.7295,9501.0,1,0,0,0,0,3
3000,Ohio University-Lancaster Campus,0.0,3295.0,0.7295,10126.0,1,0,0,0,0,3
3002,Ohio University-Zanesville Campus,0.0,3200.0,0.7295,8284.0,1,0,0,0,0,3
3394,University of Pittsburgh-Titusville,0.0,12051.0,0.6088,15984.0,1,0,0,0,0,3
3432,Thaddeus Stevens College of Technology,0.0,4445.0,0.3818,6530.0,1,0,0,0,0,3
3528,University of South Carolina-Lancaster,0.0,2270.0,0.6132,9838.0,1,0,0,0,0,3
3529,University of South Carolina-Salkehatchie,0.0,1607.0,0.7313,13392.0,1,0,0,0,0,3
3530,University of South Carolina-Sumter,0.0,2459.0,0.5456,9140.0,1,0,0,0,0,3
3531,University of South Carolina-Union,0.0,1473.0,0.7692,9865.0,1,0,0,0,0,3
3588,Cleveland State Community College,0.0,2515.0,1.0,5321.0,1,0,0,0,0,3
3636,Motlow State Community College,0.0,3162.0,0.4226,7641.0,1,0,0,0,0,3
3648,Roane State Community College,0.0,2448.0,0.9922,7653.0,1,0,0,0,0,3
3650,Southwest Tennessee Community College,0.0,2544.0,1.0,5011.0,1,0,0,0,0,3
3679,Walters State Community College,0.0,2835.0,0.9974,4068.0,1,0,0,0,0,3
3994,Richard Bland College of the College of William and Mary,0.0,2286.0,0.5572,8701.0,1,0,0,0,0,3
4199,University of Wisconsin Colleges,0.0,3942.0,0.9899,9387.0,1,0,0,0,0,3
4260,Instituto Tecnologico de Puerto Rico-Recinto de Manati,0.0,930.0,0.8605,3526.0,1,0,0,0,0,3
4268,Instituto Tecnologico de Puerto Rico-Recinto de Guayama,0.0,151.0,0.8605,1825.0,1,0,0,0,0,3
4269,Instituto Tecnologico de Puerto Rico-Recinto de Ponce,0.0,654.0,0.8605,3323.0,1,0,0,0,0,3
4270,Instituto Tecnologico de Puerto Rico-Recinto de San Juan,0.0,2096.0,0.8605,-445.0,1,0,0,0,0,3
4324,Georgia Perimeter College,0.0,2759.0,0.5118,6558.0,1,0,0,0,0,3
4680,College of the Marshall Islands,0.0,499.0,0.7367,3776.0,1,0,0,0,0,3
4777,Eastern New Mexico University-Ruidoso Campus,0.0,1507.0,0.6321,8422.0,1,0,0,0,0,3
5151,Arkansas State University-Mountain Home,0.0,1218.0,0.7551,11544.0,1,0,0,0,0,3
